semantic_id,active_category_name,official_semlayoutdiff_category_name,same_id,same_name,active_registry_file,official_source_file,provenance_ok,RGB_source,active_RGB,native_RGB,palette_changed,palette_change_reason
0,void,void,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,SemLayoutDiff native palette,"[255, 255, 255]","[255, 255, 255]",False,
19,chair,chair,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[176, 224, 32]","[52, 132, 189]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
20,lounge_chair,lounge_chair,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[80, 224, 112]","[31, 119, 180]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
21,loveseat_sofa,loveseat_sofa,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[160, 32, 208]","[243, 171, 207]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
22,lazy_sofa,lazy_sofa,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[144, 208, 176]","[241, 166, 205]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
23,sofa,sofa,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[32, 144, 192]","[240, 161, 204]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
24,multi_seat_sofa,multi_seat_sofa,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[144, 32, 112]","[241, 166, 205]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
25,chaise_longue_sofa,chaise_longue_sofa,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[144, 32, 32]","[233, 140, 199]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
26,l_shaped_sofa,l_shaped_sofa,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[80, 32, 32]","[227, 119, 194]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
27,nightstand,nightstand,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[224, 32, 128]","[255, 217, 74]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
28,shelf,shelf,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[224, 144, 128]","[215, 216, 130]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
29,bookshelf,bookshelf,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[144, 128, 32]","[212, 213, 119]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
30,children_cabinet,children_cabinet,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[48, 160, 32]","[206, 207, 98]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
31,wine_cabinet,wine_cabinet,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[96, 112, 80]","[200, 201, 76]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
32,cabinet,cabinet,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[32, 80, 160]","[194, 195, 55]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
33,wardrobe,wardrobe,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[176, 96, 224]","[188, 189, 34]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
34,pendant_lamp,pendant_lamp,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[80, 96, 128]","[255, 187, 120]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
35,ceiling_lamp,ceiling_lamp,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[32, 160, 96]","[255, 127, 14]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
36,door,door,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[18, 38, 220]","[153, 0, 0]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
37,window,window,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[220, 34, 34]","[255, 153, 153]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
