semantic_id,category_name,role,semantic_group,RGB,HEX,source_taxonomy_file,source_palette_file,active_registry_file,used_for_training,used_for_decoding,notes
28,shelf,object,storage_group,"[224, 144, 128]",#E09080,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
29,bookshelf,object,storage_group,"[144, 128, 32]",#908020,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
30,children_cabinet,object,storage_group,"[48, 160, 32]",#30A020,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
31,wine_cabinet,object,storage_group,"[96, 112, 80]",#607050,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
32,cabinet,object,storage_group,"[32, 80, 160]",#2050A0,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
33,wardrobe,object,storage_group,"[176, 96, 224]",#B060E0,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
34,pendant_lamp,object,lighting_group,"[80, 96, 128]",#506080,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
35,ceiling_lamp,object,lighting_group,"[32, 160, 96]",#20A060,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
36,door,architecture,other_group,"[18, 38, 220]",#1226DC,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,no,yes,architecture/void semantic class
37,window,architecture,other_group,"[220, 34, 34]",#DC2222,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,no,yes,architecture/void semantic class
